Record_ID,Research_Date,Game_Title,Publisher,Genre,Platform,Region,Target_Audience,Monetization_Model,Price_USD,Avg_User_Rating,Review_Count,Monthly_Active_Users,Units_Sold_Millions,Revenue_M_USD,Social_Buzz_Score,Trend_Tag,Competitor_Strength,Competitor_Weakness,Market_Positioning,Gap_Opportunity,Data_Source,Notes
MR-001,2025-12-21,Battle Quest,DragonSoft,Racing,Xbox,Unknown,Teens,Unknown,29.99,4.0,26988.0,7489144.0,5.04,98.62,4.0,Open World,Fast matchmaking,Low social buzz,Indie,More demand for short mobile sessions,Store Rankings,Potential competitor to study
MR-002,2025-06-19,Legend Wars,BlueByte Studios,Action,Switch,Middle East,Competitive,Unknown,4.99,5.0,90285.0,4178528.0,6.46,170.53,81.0,Cross-Platform,Large player community,Low social buzz,Mass Market,Need offline mode,Focus Group,Possible gap for new title
MR-003,2025-04-22,Cyber Racer,NovaPlay,Racing,PC,Global,Kids,Subscription,39.99,3.7,245658.0,603967.0,2.1,73.78,82.0,Co-op,Frequent updates,,Indie,Gap in affordable premium games,Focus Group,Mixed feedback from players
MR-004,2025-01-28,Dragon Odyssey,ArcForge,Sports,PS5,Unknown,Competitive,Freemium,9.99,4.1,147279.0,6271406.0,10.78,98.93,66.0,Retro,Easy to learn,Steep learning curve,Mass Market,Market wants creative building tools,Unknown,Promising but needs validation
MR-005,2025-05-27,Battle Saga,Unknown,Racing,Xbox,Global,Family,Free to Play,29.99,8.0,77059.0,1200000.0,10.52,225.41,14.0,Live Service,Strong graphics,,Indie,Need offline mode,Survey,Promising but needs validation
MR-006,2025-03-09,Neon League,Unknown,Puzzle,Switch,Asia-Pacific,Hardcore,premium,19.99,2.5,248357.0,6144685.0,0.88,344.7,61.0,Mobile-first,Low price,Slow updates,Unknown,Market wants creative building tools,Competitor Review,Promising but needs validation
MR-007,2025-05-22,Island World,Orbit Games,Sports,Unknown,Unknown,Unknown,Free-to-Play,4.99,4.7,60443.0,65321.0,7.59,407.47,10.0,AI NPCs,Low price,Weak tutorial,Mid-Market,Opportunity for family-friendly co-op,Focus Group,Mixed feedback from players
MR-008,2025-03-14,Neon Clash,FutureFun,Racing,PS5,Europe,Competitive,Premium,59.99,5.7,176638.0,5425548.0,4.86,387.79,25.0,Live Service,Strong graphics,Buggy launch,Niche,Demand for cross-platform saves,Competitor Review,Mixed feedback from players
MR-009,2025-08-05,Hero Dash,PixelPeak,Action,Unknown,Asia-Pacific,Casual,premium,59.99,9.0,685.0,2229684.0,9.43,313.56,72.0,User Generated Content,Strong graphics,High cost,Unknown,Market wants creative building tools,Unknown,Strong opportunity if polished
MR-010,2025-11-19,Cyber Rivals,IndieSpark,Simulation,Switch,Global,Hardcore,Subscription,19.99,2.7,156104.0,7234463.0,1.48,111.02,80.0,Retro,Fast matchmaking,Poor mobile controls,Unknown,Need stronger accessibility options,Unknown,Promising but needs validation
MR-011,2025-09-23,Shadow Odyssey,Orbit Games,Action,Switch,Middle East,Competitive,Free-to-Play,19.99,9.8,19324.0,4248668.0,11.2,395.71,21.0,Mobile-first,Large player community,Buggy launch,Premium,More demand for short mobile sessions,Social Listening,Strong opportunity if polished
MR-012,2025-05-06,Rocket Tactics,Orbit Games,RPG,PS5,Asia-Pacific,Casual,Premium,19.99,7.4,132609.0,7599512.0,0.66,80.5,99.0,Co-op,Fast matchmaking,Weak story,Budget,Need stronger accessibility options,Forum Scan,Strong opportunity if polished
MR-013,2025-12-05,Mystic Clash,PixelPeak,Unknown,Xbox,Asia-Pacific,Kids,Premium,9.99,2.4,244723.0,4178528.0,2.56,46.53,53.0,Esports,Strong story,Low social buzz,Niche,More demand for short mobile sessions,Store Rankings,
MR-014,2025-02-25,Battle Realm,Orbit Games,Puzzle,Switch,Global,Casual,Premium,0.0,8.7,214183.0,2938147.0,9.55,10.94,43.0,Mobile-first,Fast matchmaking,,Mass Market,Need better beginner onboarding,Survey,Strong opportunity if polished
MR-015,2025-12-24,Turbo Racer,IndieSpark,Puzzle,PS5,Global,Adults,premium,39.99,5.5,30435.0,4841771.0,0.58,234.11,88.0,Co-op,Popular streamer support,Weak story,Mass Market,Opportunity for esports tournaments,Social Listening,Mixed feedback from players
MR-016,2025-10-20,Street Saga,FutureFun,Shooter,Xbox,Latin America,Unknown,Unknown,9.99,3.6,99510.0,7578281.0,6.85,375.23,27.0,Esports,Large player community,Poor mobile controls,Indie,Opportunity for family-friendly co-op,Unknown,Potential competitor to study
MR-017,,Street World,DragonSoft,Racing,Xbox,Asia-Pacific,Unknown,Premium,19.99,-1.0,160361.0,615927.0,10.64,323.34,52.0,Live Service,Frequent updates,Buggy launch,Unknown,Demand for cross-platform saves,Unknown,Mixed feedback from players
MR-018,2025-04-27,Castle Saga,Orbit Games,Shooter,Switch,Middle East,Unknown,Premium,19.99,4.5,116137.0,6038707.0,5.15,200.83,61.0,Mobile-first,Frequent updates,Poor mobile controls,Indie,Need stronger accessibility options,Forum Scan,Promising but needs validation
